variety;corpus;form;offense_type;face_affected;face_orientation
MX;PRESEEA;disculpar;inappropriate_behavior;positive;speaker
MX;PRESEEA;disculpar;lack_consideration;positive;hearer
MX;PRESEEA;disculpar;censored_language;positive;speaker
MX;PRESEEA;disculpar;temporal_territory;negative;hearer
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;disculpar;interruption;negative;hearer
MX;PRESEEA;disculpar;interruption;negative;hearer
MX;PRESEEA;disculpar;criticism_disagreement;positive;hearer
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;disculpar;lack_consideration;positive;hearer
MX;PRESEEA;disculpar;lack_consideration;positive;hearer
MX;PRESEEA;disculpar;obstruction_plans;negative;hearer
MX;PRESEEA;disculpar;interruption;negative;hearer
MX;PRESEEA;disculpar;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;inappropriate_behavior;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;obstruction_plans;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;obligation;negative;hearer
MX;PRESEEA;perdón;spatial_territory;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;lack_consideration;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;censored_language;positive;speaker
MX;PRESEEA;perdón;criticism_disagreement;positive;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;criticism_disagreement;positive;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;criticism_disagreement;positive;hearer
MX;PRESEEA;perdón;social_gaffes;positive;speaker
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdón;interruption;negative;hearer
MX;PRESEEA;perdón;slips_tongue;positive;speaker
MX;PRESEEA;perdonar;obligation;negative;hearer
MX;PRESEEA;perdonar;censored_language;positive;speaker
MX;PRESEEA;perdonar;lack_consideration;positive;hearer
MX;PRESEEA;perdonar;obligation;negative;hearer
MX;PRESEEA;perdonar;inappropriate_behavior;positive;speaker
MX;PRESEEA;lo siento;criticism_disagreement;positive;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;disculpar;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdonar;obstruction_plans;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;obstruction_plans;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;criticism_disagreement;positive;hearer
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;disculpar;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;interruption;negative;hearer
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;obligation;negative;hearer
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;disculpar;violation_distraction;negative;hearer
MX;CSCM;disculpar;social_gaffes;positive;speaker
MX;CSCM;disculpar;interruption;negative;hearer
MX;CSCM;disculpar;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;censored_language;positive;speaker
MX;CSCM;perdón;social_gaffes;positive;speaker
MX;CSCM;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;interruption;negative;hearer
MX;CHBC ;disculpar;slips_tongue;positive;speaker
MX;CHBC ;disculpar;slips_tongue;positive;speaker
MX;CHBC ;disculpar;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;obligation;negative;hearer
MX;CHBC ;disculpar;slips_tongue;positive;speaker
MX;CHBC ;disculpar;social_gaffes;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;obligation;negative;hearer
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;lo siento;obstruction_plans;negative;hearer
MX;CHBC ;perdón;interruption;negative;hearer
MX;CHBC ;disculpar;interruption;negative;hearer
MX;CHBC ;disculpar;obstruction_plans;negative;hearer
MX;CHBC ;disculpar;obligation;negative;hearer
MX;CHBC ;disculpar;obligation;negative;hearer
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;obligation;negative;hearer
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;interruption;negative;hearer
MX;CHBC ;perdón;interruption;negative;hearer
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;disculpar;obligation;negative;hearer
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;slips_tongue;positive;speaker
MX;CHBC ;perdón;obstruction_plans;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;disculpar;lack_consideration;positive;hearer
MX;CME;disculpar;lack_consideration;positive;hearer
MX;CME;disculpar;criticism_disagreement;positive;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;obstruction_plans;negative;hearer
MX;CME;disculpar;criticism_disagreement;positive;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;disculpar;violation_distraction;negative;hearer
MX;CME;disculpar;temporal_territory;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;disculpar;rejection_offer;positive;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdonar;obligation;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;disculpar;censored_language;positive;speaker
MX;CME;disculpar;interruption;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;social_gaffes;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;disculpar;lack_consideration;positive;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;lo siento;criticism_disagreement;positive;hearer
MX;CME;disculpar;obligation;negative;hearer
MX;CME;disculpar;violation_distraction;negative;hearer
MX;CME;perdón;violation_distraction;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;obligation;negative;hearer
MX;CME;perdón;criticism_disagreement;positive;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;obligation;negative;hearer
MX;CME;disculpar;lack_consideration;positive;hearer
MX;CME;perdón;censored_language;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;obligation;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdonar;lack_consideration;positive;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;social_gaffes;positive;speaker
MX;CME;lo siento;lack_consideration;positive;hearer
MX;CME;perdón;social_gaffes;positive;speaker
MX;CME;perdón;interruption;negative;hearer
MX;CME;disculpar;obligation;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;disculpar;obligation;negative;hearer
MX;CME;perdón;social_gaffes;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;slips_tongue;positive;speaker
MX;CME;perdón;social_gaffes;positive;speaker
MX;CME;disculpar;obligation;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;CME;perdón;interruption;negative;hearer
MX;PRESEEA;disculpar;obligation;negative;hearer
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;rejection_offer;positive;hearer
MX;Ameresco;perdón;social_gaffes;positive;speaker
MX;Ameresco;perdonar;damage_belongings;negative;hearer
MX;Ameresco;perdón;inappropriate_behavior;positive;speaker
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;criticism_disagreement;positive;hearer
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;censored_language;positive;speaker
MX;Ameresco;perdón;interruption;negative;hearer
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;censored_language;positive;speaker
MX;Ameresco;perdón;interruption;negative;hearer
MX;Ameresco;perdón;interruption;negative;hearer
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;censored_language;positive;speaker
MX;Ameresco;perdón;censored_language;positive;speaker
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;obstruction_plans;negative;hearer
MX;Ameresco;perdón;slips_tongue;positive;speaker
MX;Ameresco;perdón;spatial_territory;negative;hearer
MX;Ameresco;perdón;criticism_disagreement;positive;hearer
MX;Ameresco;perdón;social_gaffes;positive;speaker
MX;Ameresco;perdón;obligation;negative;hearer
MX;Ameresco;perdonar;social_gaffes;positive;speaker
MX;Ameresco;perdón;obligation;negative;hearer
MX;Ameresco;perdón;interruption;negative;hearer
MX;Ameresco;perdonar;interruption;negative;hearer
MX;Ameresco;disculpar;criticism_disagreement;positive;hearer
SP;CORMA;lo siento;spatial_territory;negative;hearer
SP;CORMA;lo siento;criticism_disagreement;positive;hearer
SP;CORMA;lo siento;spatial_territory;negative;hearer
SP;CORMA;lo siento;spatial_territory;negative;hearer
SP;CORMA;lo siento;criticism_disagreement;positive;hearer
SP;CORMA;lo siento;criticism_disagreement;positive;hearer
SP;CORMA;lo siento;obstruction_plans;negative;hearer
SP;CORMA;lo siento;inappropriate_behavior;positive;speaker
SP;CORMA;lo siento;criticism_disagreement;positive;hearer
SP;CORMA;lo siento;inappropriate_behavior;positive;speaker
SP;CORMA;lo siento;criticism_disagreement;positive;hearer
SP;CORMA;lo siento;obstruction_plans;negative;hearer
SP;CORMA;lo siento;criticism_disagreement;positive;hearer
SP;CORMA;lo siento;censored_language;positive;speaker
SP;CORMA;perdón;interruption;negative;hearer
SP;CORMA;perdón;lack_consideration;positive;hearer
SP;CORMA;perdón;spatial_territory;negative;hearer
SP;CORMA;perdón;interruption;negative;hearer
SP;CORMA;perdón;slips_tongue;positive;speaker
SP;CORMA;perdón;obstruction_plans;negative;hearer
SP;CORMA;perdón;interruption;negative;hearer
SP;CORMA;perdonar;slips_tongue;positive;speaker
SP;CORMA;perdón;obligation;negative;hearer
SP;CORMA;perdón;spatial_territory;negative;hearer
SP;CORMA;perdón;spatial_territory;negative;hearer
SP;CORMA;perdón;slips_tongue;positive;speaker
SP;CORMA;perdón;spatial_territory;negative;hearer
SP;CORMA;perdón;obstruction_plans;negative;hearer
SP;CORMA;perdón;interruption;negative;hearer
SP;CORMA;perdón;spatial_territory;negative;hearer
SP;CORMA;perdón;spatial_territory;negative;hearer
SP;CORMA;perdón;lack_consideration;positive;hearer
