AUX	Century	INF	Class
echar	21	andar	Desplazamiento
lanzar	21	captar	Control
echar	21	reír	Fisiología
lanzar	21	conquistar	Adquisición
echar	21	andar	Desplazamiento
echar	21	pasear	Desplazamiento
lanzar	21	montar	Creación
echar	21	correr	Desplazamiento
lanzar	21	explicar	Conocimiento
echar	21	dormir	Fisiología
lanzar	21	conseguir	Adquisición
lanzar	21	violar	Actividad
tirar	21	hacer	Verbos de apoyo
echar	21	temblar	Manera Movimiento
lanzar	21	arponear	Desplazamiento
echar	21	llorar	Fisiología
echar	21	rodar	Desplazamiento
echar	21	llorar	Fisiología
lanzar	21	probar	Disposición
lanzar	21	corretear	Desplazamiento
lanzar	21	descubrir	Percepción
echar	21	reír	Fisiología
echar	21	andar	Uso
echar	21	morir	Vida
echar	21	reír	Fisiología
lanzar	21	conquistar	Adquisición
echar	21	andar	Desplazamiento
lanzar	21	explorar	Percepción
echar	21	temblar	Manera Movimiento
arrojar	21	combatir	Competición
lanzar	21	emprender	Fase
echar	21	llorar	Fisiología
lanzar	21	suplir	Sustitución
tirar	21	nadar	Desplazamiento
echar	21	dormir	Fisiología
arrojar	21	estudiar	Conocimiento
lanzar	21	publicar	Comunicación
arrojar	21	sospechar	Creencia
echar	21	leer	Percepción
lanzar	21	probar	Disposición
arrojar	21	discutir	Comunicación
lanzar	21	ser	Atribución
echar	21	reír	Fisiología
lanzar	21	publicar	Comunicación
lanzar	21	pasear	Desplazamiento
arrojar	21	volar	Desplazamiento
lanzar	21	buscar	Percepción
lanzar	21	recorrer	Desplazamiento
lanzar	21	disparar	Desplazamiento
lanzar	21	publicar	Comunicación
echar	21	andar	Desplazamiento
echar	21	rodar	Manera Movimiento
tirar	21	rescatar	Control
echar	21	andar	Uso
lanzar	21	recrear	Sensación
lanzar	21	recorrer	Desplazamiento
echar	21	andar	Desplazamiento
echar	21	llorar	Fisiología
lanzar	21	abrir	Modificación
arrojar	21	correr	Desplazamiento
lanzar	21	contestar	Comunicación
echar	21	lavar	Modificación
lanzar	21	recolectar	Unión
lanzar	21	abrazar	Contacto
lanzar	21	presentar	Percepción
tirar	21	corretear	Desplazamiento
tirar	21	pelear	Competición
echar	21	andar	Desplazamiento
echar	21	arder	Cambio
lanzar	21	observar	Percepción
echar	21	correr	Desplazamiento
echar	21	correr	Desplazamiento
lanzar	21	escribir	Comunicación
lanzar	21	leer	Percepción
echar	21	correr	Desplazamiento
lanzar	21	abrir	Modificación
echar	21	andar	Desplazamiento
lanzar	21	mostrar	Percepción
lanzar	21	montar	Creación
lanzar	21	hacer	Creación
echar	21	correr	Desplazamiento
echar	21	correr	Desplazamiento
lanzar	21	comprar	Adquisición
lanzar	21	responder	Comunicación
lanzar	21	hacer	Creación
echar	21	andar	Desplazamiento
lanzar	21	advertir	Comunicación
echar	21	andar	Desplazamiento
lanzar	21	pasear	Desplazamiento
echar	21	temblar	Manera Movimiento
lanzar	21	decorar	Modificación
lanzar	21	montar	Creación
lanzar	21	conquistar	Adquisición
echar	21	reír	Fisiología
echar	21	andar	Uso
echar	21	correr	Desplazamiento
echar	21	dormir	Fisiología
echar	21	dormir	Fisiología
echar	21	llorar	Fisiología
echar	21	andar	Uso
echar	21	correr	Desplazamiento
lanzar	21	ocupar	Relación
lanzar	21	besar	Contacto
echar	21	correr	Desplazamiento
lanzar	21	formar	Relación
echar	21	temblar	Manera Movimiento
lanzar	21	pronosticar	Comunicación
echar	21	andar	Desplazamiento
lanzar	21	predicar	Comunicación
echar	21	correr	Desplazamiento
echar	21	correr	Desplazamiento
echar	21	llorar	Fisiología
lanzar	21	reunificar	Unión
lanzar	21	apoyar	Localización
arrojar	21	tranquilizar	Sensación
echar	21	andar	Desplazamiento
arrojar	21	cantar	Emisión de sonido
lanzar	21	promocionar	Comunicación
lanzar	21	hacer	Verbos de apoyo
echar	21	temblar	Desplazamiento
lanzar	21	solicitar	Petición
lanzar	21	romper	Modificación
echar	21	andar	Desplazamiento
echar	21	temblar	Manera Movimiento
lanzar	21	exportar	Transferencia
lanzar	21	comprar	Adquisición
echar	21	andar	Desplazamiento
lanzar	21	montar	Creación
echar	21	llorar	Fisiología
echar	21	correr	Desplazamiento
lanzar	21	pedir	Petición
lanzar	21	surcar	Desplazamiento
echar	21	andar	Desplazamiento
echar	21	llorar	Fisiología
lanzar	21	ofrecer	Transferencia
echar	21	llorar	Fisiología
echar	21	andar	Desplazamiento
echar	21	andar	Desplazamiento
lanzar	21	ganar	Adquisición
lanzar	21	hacer	Creación
lanzar	21	realizar	Actividad
tirar	21	comer	Ingestión
lanzar	21	producir	Creación
lanzar	21	realizar	Actividad
lanzar	21	tocar	Emisión
disparar	21	celebrar	Sensación
lanzar	21	decir	Comunicación
lanzar	21	advertir	Comunicación
lanzar	21	atacar	Competición
lanzar	21	tomar	Control
lanzar	21	cantar	Emisión de sonido
echar	21	correr	Desplazamiento
lanzar	21	utilizar	Uso
lanzar	21	contar	Comunicación
echar	21	andar	Desplazamiento
echar	21	rodar	Desplazamiento
tirar	21	formar	Creación
echar	21	correr	Desplazamiento
echar	21	temblar	Manera Movimiento
echar	21	temblar	Manera Movimiento
echar	21	llorar	Fisiología
echar	21	dormir	Fisiología
echar	21	correr	Desplazamiento
lanzar	21	montar	Creación
echar	21	andar	Desplazamiento
echar	21	temblar	Manera Movimiento
echar	21	correr	Desplazamiento
lanzar	21	abrir	Modificación
echar	21	temblar	Manera Movimiento
tirar	21	nadar	Desplazamiento
lanzar	21	comprar	Adquisición
lanzar	21	buscar	Percepción
echar	21	reír	Fisiología
lanzar	21	votar	Elección
tirar	21	nadar	Desplazamiento
echar	21	reír	Fisiología
echar	21	temblar	Manera Movimiento
echar	21	correr	Desplazamiento
lanzar	21	abrazar	Contacto
tirar	21	bailar	Actividad
tirar	21	enrollar	Modificación
lanzar	21	probar	Disposición
tirar	21	elaborar	Modificación
echar	21	andar	Uso
lanzar	21	bailar	Actividad
echar	21	gemir	Emisión de sonido
echar	21	temblar	Manera Movimiento
echar	21	volar	Desplazamiento
lanzar	21	vender	Transferencia
echar	21	correr	Desplazamiento
lanzar	21	poner	Modificación
lanzar	21	comprar	Adquisición
lanzar	21	comprar	Adquisición
tirar	21	cruzar	Desplazamiento
lanzar	21	investigar	Conocimiento
echar	21	andar	Desplazamiento
lanzar	21	participar	Actividad
echar	21	volar	Desplazamiento
tirar	21	realizar	Actividad
lanzar	21	operar	Actividad
lanzar	21	leer	Percepción
lanzar	21	correr	Desplazamiento
echar	21	andar	Desplazamiento
lanzar	21	casarse	Relaciones Sociales
lanzar	21	organizar	Modificación
echar	21	correr	Desplazamiento
echar	21	andar	Uso
tirar	21	tocar	Emisión
lanzar	21	implantar	Creación
lanzar	21	poner	Modificación
echar	21	andar	Uso
echar	21	rodar	Desplazamiento
echar	21	andar	Desplazamiento
echar	21	andar	Uso
lanzar	21	comprar	Adquisición
lanzar	21	comprar	Adquisición
lanzar	21	vender	Transferencia
lanzar	21	comprar	Adquisición
echar	21	andar	Uso
lanzar	21	dejar	Verbos de apoyo
echar	21	llorar	Fisiología
echar	21	llorar	Fisiología
lanzar	21	hacer	Verbos de apoyo
echar	21	rodar	Cambio
lanzar	21	realizar	Actividad
lanzar	21	emprender	Fase
echar	21	dormir	Fisiología
echar	21	correr	Desplazamiento
echar	21	temblar	Manera Movimiento
lanzar	21	corregir	Modificación
echar	21	andar	Desplazamiento
tirar	21	repetir	Comunicación
lanzar	21	criticar	Valoración
lanzar	21	crear	Creación
lanzar	21	innovar	Modificación
lanzar	21	completar	Unión
lanzar	21	investigar	Conocimiento
echar	21	andar	Desplazamiento
echar	21	llorar	Fisiología
lanzar	21	comprar	Adquisición
echar	21	andar	Desplazamiento
lanzar	21	ver	Percepción
arrojar	21	presentar	Percepción
lanzar	21	discutir	Comunicación
tirar	21	ver	Percepción
tirar	21	rescatar	Control
echar	21	andar	Desplazamiento
tirar	21	rescatar	Control
lanzar	21	probar	Disposición
lanzar	21	hacer	Verbos de apoyo
lanzar	21	viajar	Desplazamiento
echar	21	correr	Desplazamiento
lanzar	21	decorar	Modificación
tirar	21	reír	Fisiología
echar	21	llorar	Fisiología
tirar	21	llorar	Fisiología
echar	21	andar	Desplazamiento
echar	21	volar	Desplazamiento
lanzar	21	comprar	Adquisición
lanzar	21	probar	Disposición
tirar	21	nadar	Desplazamiento
lanzar	21	interpretar	Actividad
lanzar	21	investigar	Conocimiento
lanzar	21	vender	Transferencia
tirar	21	hacer	Verbos de apoyo
lanzar	21	escribir	Comunicación
lanzar	21	distribuir	Transferencia
echar	21	andar	Uso
lanzar	21	montar	Creación
lanzar	21	hacer	Verbos de apoyo
lanzar	21	comprar	Adquisición
lanzar	21	producir	Creación
echar	21	correr	Desplazamiento
lanzar	21	apoyar	Localización
lanzar	21	denunciar	Valoración
echar	21	volar	Desplazamiento
lanzar	21	gastar	Consumo
echar	21	correr	Desplazamiento
lanzar	21	recorrer	Desplazamiento
lanzar	21	saquear	Adquisición
lanzar	21	desarrollar	Fase
lanzar	21	comprar	Adquisición
echar	21	arder	Cambio
echar	21	temblar	Manera Movimiento
echar	21	andar	Uso
tirar	21	cantar	Emisión de sonido
echar	21	dormir	Fisiología
lanzar	21	conquistar	Adquisición
echar	21	correr	Desplazamiento
lanzar	21	intentar	Disposición
echar	21	andar	Desplazamiento
lanzar	21	buscar	Percepción
echar	21	temblar	Manera Movimiento
lanzar	21	querer	Volición
echar	21	andar	Uso
echar	21	dormir	Fisiología
tirar	21	joder	Sensación
echar	21	correr	Desplazamiento
echar	21	caminar	Desplazamiento
lanzar	21	invertir	Modificación
echar	21	rodar	Desplazamiento
echar	21	correr	Desplazamiento
echar	21	dormir	Fisiología
echar	21	llorar	Fisiología
lanzar	21	compartir	Posesión
echar	21	rodar	Desplazamiento
lanzar	21	compartir	Posesión
lanzar	21	comprar	Adquisición
lanzar	21	escribir	Comunicación
echar	21	andar	Desplazamiento
lanzar	21	seducir	Sensación
echar	21	andar	Desplazamiento
lanzar	21	competir	Competición
echar	21	correr	Desplazamiento
tirar	21	volar	Desplazamiento
echar	21	correr	Desplazamiento
lanzar	21	comprar	Adquisición
echar	21	andar	Uso
lanzar	21	sostener	Control
echar	21	andar	Desplazamiento
echar	21	temblar	Manera Movimiento
lanzar	21	formar	Relación
tirar	21	pegar	Contacto
lanzar	21	practicar	Verbos de apoyo
lanzar	21	beber	Ingestión
echar	21	temblar	Manera Movimiento
lanzar	21	crear	Creación
lanzar	21	vivir	Vida
lanzar	21	hacer	Creación
lanzar	21	vestir	Cuidado Corporal
lanzar	21	cubrir	Modificación
echar	21	andar	Desplazamiento
echar	21	correr	Desplazamiento
lanzar	21	hablar	Comunicación
lanzar	21	teclear	Contacto
echar	21	correr	Desplazamiento
lanzar	21	rodar	Desplazamiento
lanzar	21	hacer	Verbos de apoyo
echar	21	reír	Fisiología
lanzar	21	crear	Creación
echar	21	andar	Uso
echar	21	correr	Desplazamiento
echar	21	volar	Desplazamiento
echar	21	correr	Desplazamiento
tirar	21	hacer	Verbos de apoyo
lanzar	21	forjar	Creación
echar	21	girar	Manera Movimiento
lanzar	21	manipular	Actividad
echar	21	llorar	Fisiología
disparar	21	correr	Desplazamiento
lanzar	21	vivir	Vida
lanzar	21	comprar	Adquisición
lanzar	21	conseguir	Adquisición
echar	21	correr	Desplazamiento
echar	21	andar	Uso
tirar	21	trabajar	Actividad
lanzar	21	construir	Creación
lanzar	21	navegar	Desplazamiento
echar	21	volar	Desplazamiento
echar	21	andar	Uso
echar	21	reír	Fisiología
echar	21	reír	Fisiología
lanzar	21	grabar	Cambio
echar	21	rodar	Desplazamiento
echar	21	andar	Desplazamiento
echar	21	llorar	Fisiología
echar	21	temblar	Manera Movimiento
echar	21	reír	Fisiología
echar	21	rodar	Desplazamiento
lanzar	21	hacer	Verbos de apoyo
lanzar	21	cargar	Valoración
echar	21	correr	Desplazamiento
echar	21	rodar	Actividad
lanzar	21	conquistar	Adquisición
arrojar	21	morir	Vida
echar	21	andar	Desplazamiento
echar	21	temblar	Manera Movimiento
echar	21	andar	Desplazamiento
echar	21	llorar	Fisiología
echar	21	llorar	Fisiología
echar	21	reír	Fisiología
tirar	21	pensar	Cognición
echar	21	llorar	Fisiología
lanzar	21	conquistar	Adquisición
echar	21	temblar	Manera Movimiento
echar	21	andar	Desplazamiento
echar	21	andar	Desplazamiento
lanzar	21	revindicar	Comunicación
echar	21	rodar	Desplazamiento
echar	21	temblar	Manera Movimiento
tirar	21	descalificar	Valoración
echar	21	correr	Desplazamiento
lanzar	21	producir	Creación
lanzar	21	leer	Percepción
lanzar	21	elevar	Desplazamiento
echar	21	andar	Uso
echar	21	rodar	Desplazamiento
lanzar	21	crear	Creación
lanzar	21	hacer	Verbos de apoyo
lanzar	21	inaugurar	Relaciones Sociales
echar	21	volar	Desplazamiento
echar	21	andar	Uso
echar	20	reír	Fisiología
echar	19	reír	Fisiología
echar	19	buscar	Percepción
echar	17	dormir	Fisiología
echar	17	dormir	Fisiología
echar	20	reír	Fisiología
echar	20	llorar	Fisiología
echar	17	dormir	Fisiología
echar	20	andar	Desplazamiento
echar	18	adivinar	Conocimiento
echar	20	temblar	Manera Movimiento
echar	20	reír	Fisiología
echar	19	reír	Fisiología
echar	19	correr	Desplazamiento
lanzar	20	parlotear	Comunicación
echar	19	andar	Desplazamiento
echar	20	andar	Desplazamiento
echar	19	reír	Fisiología
echar	15	dormir	Fisiología
echar	20	andar	Desplazamiento
echar	20	llorar	Fisiología
echar	20	llorar	Fisiología
echar	19	andar	Desplazamiento
echar	20	reír	Fisiología
echar	20	dormir	Fisiología
echar	20	andar	Desplazamiento
echar	19	volar	Desplazamiento
echar	19	correr	Desplazamiento
lanzar	19	tomar	Control
echar	19	reír	Fisiología
echar	20	llorar	Fisiología
echar	20	llorar	Fisiología
echar	19	reír	Fisiología
echar	20	reír	Fisiología
echar	16	pensar	Cognición
echar	19	correr	Desplazamiento
echar	20	andar	Desplazamiento
echar	17	huir	Desplazamiento
echar	20	reír	Fisiología
echar	19	correr	Desplazamiento
echar	20	reír	Fisiología
echar	20	correr	Desplazamiento
echar	15	huir	Desplazamiento
echar	20	reír	Fisiología
echar	19	dormir	Fisiología
echar	17	dormir	Fisiología
echar	20	andar	Desplazamiento
echar	19	reír	Fisiología
echar	20	andar	Desplazamiento
echar	17	pensar	Cognición
echar	17	dormir	Fisiología
echar	16	huir	Desplazamiento
echar	20	reír	Fisiología
echar	20	correr	Desplazamiento
echar	19	andar	Desplazamiento
echar	20	correr	Desplazamiento
echar	16	huir	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	reír	Fisiología
echar	15	huir	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	19	andar	Desplazamiento
lanzar	20	dominar	Control
echar	20	reír	Fisiología
lanzar	19	herir	Modificación
echar	17	dormir	Fisiología
echar	20	correr	Desplazamiento
echar	15	soñar	Conocimiento
echar	20	andar	Desplazamiento
lanzar	19	tomar	Control
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	19	andar	Desplazamiento
lanzar	20	girar	Manera Movimiento
echar	19	correr	Desplazamiento
echar	20	llorar	Fisiología
echar	16	dormir	Fisiología
echar	20	reír	Fisiología
echar	20	volar	Desplazamiento
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	20	andar	Desplazamiento
echar	20	dormir	Fisiología
echar	20	correr	Desplazamiento
echar	19	andar	Desplazamiento
echar	19	llorar	Fisiología
echar	20	reír	Fisiología
echar	19	andar	Desplazamiento
echar	20	llorar	Fisiología
echar	20	reír	Fisiología
echar	19	correr	Desplazamiento
echar	20	temblar	Manera Movimiento
echar	20	andar	Desplazamiento
echar	16	dormir	Fisiología
echar	19	huir	Desplazamiento
echar	18	adivinar	Conocimiento
echar	20	llorar	Fisiología
echar	20	llorar	Fisiología
echar	19	andar	Desplazamiento
echar	20	reír	Fisiología
echar	20	andar	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	andar	Desplazamiento
echar	19	andar	Desplazamiento
arrojar	19	conquistar	Adquisición
arrojar	17	reír	Fisiología
echar	19	correr	Desplazamiento
echar	19	llorar	Fisiología
echar	19	andar	Desplazamiento
echar	19	reír	Fisiología
echar	19	andar	Desplazamiento
echar	20	reír	Fisiología
echar	17	pensar	Cognición
echar	19	andar	Desplazamiento
echar	19	correr	Desplazamiento
echar	19	correr	Desplazamiento
echar	19	temblar	Manera Movimiento
echar	20	llorar	Fisiología
echar	20	reír	Fisiología
echar	20	andar	Desplazamiento
echar	20	temblar	Manera Movimiento
echar	20	buscar	Percepción
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	16	huir	Desplazamiento
echar	20	andar	Desplazamiento
echar	20	correr	Desplazamiento
echar	16	huir	Desplazamiento
echar	20	reír	Fisiología
echar	20	dormir	Fisiología
lanzar	20	exponer	Percepción
echar	20	vivir	Vida
echar	19	reír	Fisiología
echar	20	dormir	Fisiología
echar	20	reír	Fisiología
echar	19	reír	Fisiología
echar	20	reír	Fisiología
echar	19	llorar	Fisiología
echar	19	llorar	Fisiología
echar	19	andar	Desplazamiento
echar	20	llorar	Fisiología
echar	17	huir	Desplazamiento
echar	20	reír	Fisiología
echar	20	correr	Desplazamiento
echar	19	dormir	Fisiología
echar	20	andar	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	volar	Desplazamiento
echar	19	temblar	Manera Movimiento
echar	20	volar	Desplazamiento
echar	20	reír	Fisiología
echar	15	dormir	Fisiología
echar	19	volar	Desplazamiento
echar	20	reír	Fisiología
echar	20	temblar	Manera Movimiento
echar	19	volar	Desplazamiento
echar	19	llorar	Fisiología
echar	19	andar	Desplazamiento
echar	19	reír	Fisiología
echar	19	llorar	Fisiología
echar	19	reír	Fisiología
echar	19	llorar	Fisiología
echar	17	dormir	Fisiología
echar	20	llorar	Fisiología
echar	20	correr	Desplazamiento
echar	19	correr	Desplazamiento
echar	20	llorar	Fisiología
echar	17	huir	Desplazamiento
echar	19	andar	Desplazamiento
echar	20	dormir	Fisiología
echar	20	llorar	Fisiología
echar	20	llorar	Fisiología
echar	20	volar	Desplazamiento
echar	20	caminar	Desplazamiento
echar	20	vivir	Vida
echar	20	reír	Fisiología
echar	20	andar	Desplazamiento
echar	15	dormir	Fisiología
echar	19	correr	Desplazamiento
echar	16	huir	Desplazamiento
echar	19	volar	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	reír	Fisiología
echar	15	dormir	Fisiología
arrojar	17	decir	Comunicación
echar	20	correr	Desplazamiento
arrojar	17	ser	Atribución
echar	16	dormir	Fisiología
echar	20	andar	Desplazamiento
echar	20	reír	Fisiología
echar	20	llorar	Fisiología
echar	20	correr	Desplazamiento
echar	20	andar	Desplazamiento
echar	16	huir	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	correr	Desplazamiento
arrojar	17	decir	Comunicación
echar	14	dormir	Fisiología
echar	19	reír	Fisiología
echar	20	reír	Fisiología
echar	15	huir	Desplazamiento
echar	20	aprender	Conocimiento
lanzar	20	realizar	Actividad
echar	20	llorar	Fisiología
echar	16	dormir	Fisiología
arrojar	17	ser	Atribución
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	20	llorar	Fisiología
echar	20	llorar	Fisiología
echar	20	andar	Desplazamiento
echar	19	llorar	Fisiología
echar	20	andar	Desplazamiento
arrojar	16	librar	Unión
echar	20	reír	Fisiología
echar	20	reír	Fisiología
echar	20	andar	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	andar	Desplazamiento
echar	17	correr	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	temblar	Manera Movimiento
echar	20	llorar	Fisiología
echar	20	llorar	Fisiología
echar	20	correr	Desplazamiento
echar	19	correr	Desplazamiento
echar	20	andar	Desplazamiento
echar	16	huir	Desplazamiento
echar	19	reír	Fisiología
echar	20	correr	Desplazamiento
echar	19	andar	Desplazamiento
arrojar	19	seguir	Desplazamiento
echar	19	reír	Fisiología
echar	17	dormir	Fisiología
echar	19	correr	Desplazamiento
echar	17	dormir	Fisiología
echar	20	reír	Fisiología
echar	19	correr	Desplazamiento
arrojar	19	mendigar	Actividad
lanzar	20	profanar	Relaciones Sociales
echar	20	llorar	Fisiología
echar	19	reír	Fisiología
lanzar	20	dar	Verbos de apoyo
echar	20	correr	Desplazamiento
arrojar	16	decir	Comunicación
echar	20	reír	Fisiología
lanzar	20	discernir	Percepción
lanzar	19	pedir	Petición
echar	20	reír	Fisiología
lanzar	20	empujar	Desplazamiento
echar	20	llorar	Fisiología
echar	19	reír	Fisiología
echar	16	huir	Desplazamiento
echar	19	reír	Fisiología
echar	20	reír	Fisiología
echar	20	llorar	Fisiología
echar	16	cortir	Modificación
echar	20	reír	Fisiología
echar	15	dormir	Fisiología
arrojar	17	cobrar	Adquisición
echar	19	reír	Fisiología
echar	19	correr	Desplazamiento
echar	20	reír	Fisiología
echar	20	volar	Desplazamiento
echar	20	llorar	Fisiología
lanzar	20	reconocer	Percepción
echar	20	correr	Desplazamiento
echar	16	dormir	Fisiología
echar	20	reír	Fisiología
echar	15	dormir	Fisiología
echar	20	reír	Fisiología
echar	19	andar	Desplazamiento
echar	20	andar	Desplazamiento
echar	19	correr	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	andar	Desplazamiento
echar	20	llorar	Fisiología
echar	20	reír	Fisiología
arrojar	16	determinar	Conocimiento
echar	20	andar	Desplazamiento
echar	20	reír	Fisiología
echar	20	nadar	Desplazamiento
lanzar	20	ver	Percepción
echar	19	correr	Desplazamiento
echar	20	correr	Desplazamiento
echar	20	andar	Desplazamiento
echar	19	correr	Desplazamiento
echar	20	reír	Fisiología
echar	20	reír	Fisiología
lanzar	19	sostener	Control
echar	16	huir	Desplazamiento
echar	19	andar	Desplazamiento
echar	19	llorar	Fisiología
echar	19	andar	Desplazamiento
echar	20	andar	Desplazamiento
echar	20	llorar	Fisiología
echar	20	reír	Fisiología
echar	20	andar	Desplazamiento
echar	20	andar	Desplazamiento
echar	20	correr	Desplazamiento
echar	19	reír	Fisiología
echar	20	reír	Fisiología
echar	19	llorar	Fisiología
echar	13	obrar	Actividad
echar	20	volar	Desplazamiento
arrojar	17	vituperar	Comunicación
echar	20	correr	Desplazamiento
echar	20	correr	Desplazamiento
echar	19	andar	Desplazamiento
echar	19	volar	Desplazamiento
echar	20	correr	Desplazamiento
echar	19	discurrir	Conocimiento
echar	20	dormir	Fisiología
echar	20	reír	Fisiología
echar	14	dormir	Fisiología
