Participant,Age,Gender,Occupation,OccupGroup,OtherLgs,Education,EduTotal,ReadEng1,ReadEng2,ReadEng3,ReadEng,Active,ObjCl,ObjRel,Passive,Postmod,Q.has,Q.is,Locative,SubCl,SubRel,GrammarR,Grammar,VocabR,Vocab,CollocR,Colloc,Blocks,ART,LgAnalysis,Group,NativeLg,EdNative,EdUK,EduYrsNat,EduYrsEng,FirstExp,Arrival,LoR,EngWork,EngPrivate,ReadOth1,ReadOth2,ReadOth3,ReadOth,UseEngC,NativeLgFamily
1,21,M,Student,PS,None,3rd Year Of Ba,17,1,2,2,5,8,8,8,8,8,8,6,8,8,8,78,95,48,73.33333333,30,68.75,16,17,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,38,M,Student/Support Worker,PS,None,Nvq Iv Music Performance,13,1,2,3,6,8,8,8,8,8,8,7,8,8,8,79,97.5,58,95.55555556,35,84.375,11,31,13,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,55,M,Retired,I,None,No Formal (City And Guilds),11,3,3,4,10,8,8,8,8,8,7,8,8,8,8,79,97.5,58,95.55555556,31,71.875,5,38,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,26,F,Web Designer,PS,None,Ba Fine Art,17,3,3,3,9,8,8,8,8,8,8,8,8,8,8,80,100,53,84.44444444,37,90.625,20,26,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,55,F,Homemaker,I,None,O'levels,12,3,2,3,8,8,8,8,8,8,8,7,8,8,8,79,97.5,55,88.88888889,36,87.5,16,31,14,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,58,F,Retired,I,None,O'levels,12,1,1,2,4,8,5,1,8,8,7,6,7,8,8,66,65,48,73.33333333,21,40.625,8,15,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,31,F,Cleaner,M,None,"Gcse, Nvq3 Beauty Therapy",13,3,2,3,8,7,8,8,8,7,8,7,8,8,8,77,92.5,39,53.33333333,29,65.625,8,7,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,58,M,Roofer,M,None,No Formal (Nvq Roofing),11,2,2,3,7,8,4,8,8,7,1,8,8,8,8,68,70,48,73.33333333,33,78.125,10,10,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,42,M,Manual Worker,M,None,No Formal (Nvq Machinery),11,1,1,1,3,8,7,3,2,6,3,7,8,7,7,58,45,31,35.55555556,22,43.75,7,6,2,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,59,F,Housewife,I,None,No Formal,11,2,2,2,6,8,5,8,8,8,0,8,8,8,8,69,72.5,42,60,29,65.625,9,6,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,32,F,Admin Assistant,C,None,"Gcse, Nvq And Dispoma Business Admin",13,4,4,4,12,8,5,8,8,4,8,2,8,8,8,67,67.5,33,40,29,65.625,6,3,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,27,M,Content Editor,C,French,Ma English Literature,18,5,5,2,12,8,7,6,7,7,7,8,7,8,8,73,82.5,58,95.55555556,37,90.625,21,44,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,60,M,School Crossing Guard,M,None,"Gces, Northern Counties",12,2,2,1,5,8,7,8,8,8,4,8,8,8,7,74,85,54,86.66666667,35,84.375,13,14,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,51,F,Carer/Cleaner,M,None,No Formal,11,1,1,3,5,8,8,8,7,6,8,1,8,8,8,70,75,39,53.33333333,28,62.5,8,4,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,32,M,It Support,C,None,College,14,2,3,3,8,8,8,8,8,8,6,8,8,8,7,77,92.5,55,88.88888889,33,78.125,22,18,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
24,29,F,Finance Assistant,C,None,"Nvq, City And Guilds",13,5,5,3,13,8,5,5,8,7,6,8,7,8,8,70,75,36,46.66666667,23,46.875,11,4,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,41,M,Admin Officer,C,None,Gcses And Nvq,12,4,4,3,11,8,8,8,8,8,8,8,8,8,8,80,100,54,86.66666667,35,84.375,11,26,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
27,57,F,Housewife,I,None,Ba,17,5,5,2,12,8,8,8,8,8,2,8,8,8,8,74,85,53,84.44444444,33,78.125,15,31,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
28,60,F,Functions Co-Ordinator,C,None,Gce O'level,12,5,5,2,12,8,8,8,7,8,8,8,8,8,8,79,97.5,54,86.66666667,32,75,17,17,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
32,18,F,Student,PS,None,A Level,14,5,5,4,14,8,8,8,8,8,7,8,8,8,8,79,97.5,50,77.77777778,26,56.25,26,19,13,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
34,41,F,Senior Lecturer,PS,None,Phd,21,5,5,3,13,8,8,8,8,8,5,5,8,8,8,74,85,57,93.33333333,35,84.375,9,43,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35,60,F,Retired,I,None,Shorthand (No Formal Qualifications),11,2,2,2,6,8,8,8,8,8,6,1,8,8,8,71,77.5,56,91.11111111,34,81.25,12,30,1,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,21,F,Nail Technician,M,None,Gcses,12,1,1,3,5,8,8,8,8,8,8,8,8,8,7,79,97.5,46,68.88888889,25,53.125,12,12,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,25,F,Human Resources,C,None,Ma,18,2,2,3,7,8,8,8,7,8,8,6,8,8,8,77,92.5,52,82.22222222,27,59.375,21,18,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,26,F,Teacher,PS,German,Ba,17,4,3,4,11,8,8,8,8,8,8,8,8,7,8,79,97.5,49,75.55555556,33,78.125,19,12,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,60,M,Boilermaker,M,None,City And Guilds,12,2,2,2,6,8,6,6,8,7,7,6,8,8,8,72,80,51,80,29,65.625,12,10,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,57,F,Clerk,C,None,Gce,12,5,5,3,13,8,8,7,8,8,5,6,8,8,8,74,85,54,86.66666667,35,84.375,10,18,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
43,60,M,Retired,I,None,Ba,17,3,3,2,8,8,8,8,8,8,8,0,8,8,8,72,80,55,88.88888889,33,78.125,12,17,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,52,F,Dental Nurse,M,None,College,14,2,2,2,6,8,7,8,8,7,8,8,8,8,8,78,95,49,75.55555556,30,68.75,15,9,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45,25,M,Sales Assistant,C,None,Gcses,12,2,2,4,8,8,8,8,8,8,8,8,6,8,8,78,95,41,57.77777778,26,56.25,8,11,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,23,F,Unemployed,I,None,A Level,14,3,3,2,8,8,8,8,8,8,4,4,8,8,8,72,80,55,88.88888889,37,90.625,11,8,12,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,42,F,University Lecturer,PS,None,Phd,21,5,4,4,13,8,8,8,8,8,8,8,8,8,8,80,100,58,95.55555556,37,90.625,16,40,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,59,F,Retired,I,None,Gces,12,2,2,2,6,5,8,7,8,7,6,5,8,5,6,65,62.5,42,60,26,56.25,8,11,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,30,M,Unemployed,I,None,Nvq,13,4,4,4,12,8,8,8,8,8,5,8,8,8,8,77,92.5,50,77.77777778,30,68.75,15,11,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
51,21,F,Student,PS,None,A Level,14,2,2,1,5,8,8,8,8,8,4,8,8,7,8,75,87.5,40,55.55555556,30,68.75,15,4,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,21,F,Student,PS,None,A Level,14,4,2,3,9,8,8,8,8,8,8,8,8,8,8,80,100,51,80,30,68.75,19,8,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55,60,M,Retired,I,None,City And Guilds In Engineering,12,3,3,2,8,7,7,5,8,5,2,5,8,8,8,63,57.5,55,88.88888889,25,53.125,10,13,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
56,51,F,P/T Administrator,C,None,"Ba, Pg Diploma, Teaching Certificate",19,5,3,2,10,8,8,7,8,8,8,8,8,8,7,78,95,57,93.33333333,35,84.375,18,24,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
57,62,F,Retired,I,None,Ba,17,5,5,4,14,8,8,8,8,8,8,7,8,8,8,79,97.5,57,93.33333333,36,87.5,13,39,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
58,65,F,Creative Writing Tutor,PS,None,"Ba, Ma",18,3,4,3,10,8,8,8,8,8,8,6,8,8,8,78,95,58,95.55555556,31,71.875,11,46,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
59,19,F,Student (College),PS,None,A Level,14,1,1,2,4,8,8,8,8,8,8,7,8,8,8,79,97.5,49,75.55555556,22,43.75,21,1,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60,65,F,Retired,I,German,Ba,17,3,3,2,8,8,8,8,8,8,6,7,8,8,8,77,92.5,50,77.77777778,32,75,11,36,12,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,29,M,Teacher,PS,None,"Ba, Pgce",18,2,2,2,6,8,8,8,8,8,8,7,8,8,8,79,97.5,52,82.22222222,34,81.25,21,17,15,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,38,M,Unemployed,I,None,Gcses,12,1,0,2,3,8,8,8,8,8,7,8,8,8,8,79,97.5,51,80,36,87.5,13,23,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,37,F,Receptionist,C,None,Gcses,12,2,2,1,5,8,8,7,8,8,5,1,8,7,8,68,70,35,44.44444444,23,46.875,9,18,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,42,F,Catering Assistant,M,None,Btec Supervisory Management,13,2,2,2,6,8,8,8,8,7,3,8,8,8,8,74,85,43,62.22222222,31,71.875,16,7,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,20,M,Shop Assistant,M,None,"Gcses, Nvq Sports And Recreation",13,3,3,2,8,8,7,8,8,8,8,7,8,8,8,78,95,41,57.77777778,22,43.75,20,6,8,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,32,F,Unemployed,I,None,"Ba, Pgce",18,2,2,3,7,8,8,8,8,8,7,8,8,8,8,79,97.5,57,93.33333333,39,96.875,15,18,13,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,29,F,Waitress,M,None,"Gcses, Nvq Level 2 Beauty",13,0,0,0,0,8,7,8,8,7,8,1,8,8,8,71,77.5,41,57.77777778,27,59.375,8,4,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,29,F,Care Assisant,M,None,Gcses,12,3,3,2,8,8,6,7,8,6,7,7,8,8,8,73,82.5,45,66.66666667,24,50,9,4,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,27,F,Civil Servant,C,None,Nvq Level 2 Admin,13,3,3,3,9,8,7,8,8,8,8,7,8,8,8,78,95,37,48.88888889,26,56.25,8,4,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,28,F,Administrator,C,None,Nvq Level 3,13,5,4,3,12,8,8,8,8,8,8,7,8,8,8,79,97.5,50,77.77777778,38,93.75,15,11,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,29,F,Admin Assistant,C,None,Btec,13,3,2,2,7,7,8,6,8,8,7,8,8,8,8,76,90,38,51.11111111,28,62.5,13,4,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,25,F,Project Coordinator,C,None,Nvq,13,0,1,2,3,8,7,7,8,8,2,8,7,8,7,70,75,46,68.88888889,27,59.375,20,7,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,33,M,Quantity Surveyor,PS,German,Msc,18,3,3,1,7,8,8,7,8,8,8,8,8,8,8,79,97.5,51,80,34,81.25,19,7,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,25,M,Office Admin Co-Ordinator,C,None,A Levels/Gnvqs,14,5,5,3,13,8,8,7,8,8,7,8,8,8,8,78,95,51,80,28,62.5,23,6,8,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,25,M,Personal Searcher,C,None,Hetc,13,2,2,0,4,8,8,7,8,8,2,8,8,8,8,73,82.5,40,55.55555556,24,50,16,2,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,25,F,Teacher,PS,None,"Degree, Pgce",18,5,5,3,13,7,8,7,8,7,4,7,7,7,7,69,72.5,50,77.77777778,35,84.375,22,11,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,52,F,Support Worker,C,French,O'levels,12,4,4,1,9,8,8,8,8,8,2,7,8,8,7,72,80,51,80,33,78.125,14,16,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,25,M,Train Driver,M,None,"A Level, Ncts",14,2,2,2,6,8,8,7,8,8,7,8,8,8,8,78,95,52,82.22222222,32,75,16,9,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,53,M,Quantity Surveyor,C,None,"A Level, Rics",16,2,2,2,6,8,8,8,8,8,8,8,8,8,8,80,100,56,91.11111111,39,96.875,21,22,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,22,M,Shop Assistant,M,None,Bsc,17,2,2,2,6,8,8,8,8,8,4,8,8,8,8,76,90,47,71.11111111,27,59.375,19,5,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
100,65,M,Retired,I,None,Northern Counties School Leaving Exam,10,1,1,0,2,7,5,6,7,7,1,4,8,8,8,61,52.5,28,28.88888889,11,9.375,3,6,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
101,60,F,Retired,I,None,Northern Counties School Leaving Exam,10,1,1,1,3,8,5,5,8,8,4,8,8,8,8,70,75,52,82.22222222,37,90.625,1,16,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
104,61,M,Retired,I,None,Northern Counties School Leaving Exam,10,1,2,2,5,7,8,6,7,8,4,8,8,8,8,72,80,51,80,37,90.625,13,14,2,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
106,65,M,Retired,I,None,11 Plus,11,3,3,4,10,8,8,7,7,7,6,7,8,8,8,76,90,43,62.22222222,13,15.625,9,5,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
107,65,M,Retired,I,None,Mba (Civil Engineering),14,1,1,0,2,8,8,8,8,8,8,8,8,8,8,80,100,58,95.55555556,37,90.625,16,12,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
109,61,M,School Crossing Patrol,M,None,City And Guilds,16,1,1,2,4,8,7,7,8,8,6,5,7,8,8,72,80,46,68.88888889,25,53.125,4,11,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
121,30,M,Supermarket Assistant,M,None,Gcse,11,3,3,3,9,8,8,7,8,6,5,6,8,7,7,70,75,21,13.33333333,32,75,3,11,0,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,30,M,Policeman,C,None,A2/Gnvq,13,3,1,2,6,8,8,8,8,7,6,7,8,7,8,75,87.5,19,8.888888889,31,71.875,7,9,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,32,M,Factory Worker,M,None,A Levels/Gnvq,13,0,0,0,0,8,7,8,7,6,6,7,8,8,8,73,82.5,27,26.66666667,37,90.625,18,10,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,30,M,Unemploed,I,None,A2/Gnvq,13,3,3,3,9,8,8,8,8,8,7,7,8,8,8,78,95,32,37.77777778,36,87.5,9,14,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
125,39,F,Singer,PS,Spanish,Foundation Degree,13,1,1,1,3,8,8,8,8,8,8,8,7,8,8,79,97.5,40,55.55555556,27,59.375,15,6,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
126,29,M,Policeman,C,None,National Diploma,13,2,2,3,7,8,8,8,8,8,8,8,8,8,8,80,100,52,82.22222222,35,84.375,24,3,4,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
127,55,F,Retired,I,None,Nvq,13,4,4,2,10,8,8,8,8,8,8,8,8,8,8,80,100,54,86.66666667,32,75,9,12,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,18,F,Student,PS,None,A Levels,13,2,2,1,5,8,7,7,7,7,8,2,8,8,7,69,72.5,33,40,28,62.5,16,0,7,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
129,32,M,Factory Worker,M,None,Gnvq,13,1,1,0,2,8,7,8,8,8,8,8,8,8,8,79,97.5,54,86.66666667,26,56.25,22,7,11,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
130,31,M,Warehouse Operative,M,None,National Diploma,15,3,3,4,10,8,7,8,7,8,7,8,8,8,8,77,92.5,47,71.11111111,34,81.25,20,7,9,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
131,20,M,Customer Service Advisor,C,None,As Level,12,5,5,1,11,8,7,8,7,8,7,8,8,8,8,77,92.5,36,46.66666667,19,34.375,17,3,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
132,38,F,Housewife,I,None,Nvq,14,4,3,2,9,8,7,6,7,8,6,6,8,8,8,72,80,44,64.44444444,30,68.75,10,6,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,44,F,Shop Assistant,M,None,Gcse,11,1,1,2,4,8,8,8,8,7,5,8,7,7,8,74,85,42,60,26,56.25,19,9,10,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
134,18,M,Student,PS,None,Gcse (Currently Re-Sitting),12,1,1,1,3,8,8,7,8,8,7,8,8,8,8,78,95,25,22.22222222,13,15.625,20,1,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
202c,17,M,Student,PS,None,Student,13,1,1,2,4,8,6,8,8,8,0,8,8,8,8,70,75,44,64.44444444,22,43.75,16,0,5,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
203c,17,F,Student,PS,None,Student,13,1,1,3,5,8,8,8,8,7,8,3,8,8,8,74,85,37,48.88888889,19,34.375,9,5,6,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
204c,17,F,Student,PS,None,Student,13,1,1,1,3,8,8,8,8,7,8,0,8,8,8,71,77.5,34,42.22222222,20,37.5,8,5,3,L1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
